Tm,Player,Pos,Posnum,Age,Conf,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
BRK,Sean Kilpatrick,SG,2,27,E,70,1754,13.1,0.546,0.419,0.329,1.3,15.4,8.4,14.6,1.2,0.3,13.8,23.8,0.4,1.1,1.4,0.04,-1.2,-1.8,-3,-0.4
BRK,Isaiah Whitehead,PG,1,21,E,73,1643,7.6,0.487,0.293,0.222,2.1,9.7,5.9,17.7,1.2,1.7,20.3,18.2,-1.7,0.9,-0.8,-0.023,-4.3,-0.6,-4.9,-1.2
CHI,Jimmy Butler,SF,3,27,E,76,2809,25.1,0.586,0.198,0.54,4.9,13.2,9,24.8,2.6,0.9,9.3,26.5,10.1,3.8,13.8,0.236,5.8,1.1,6.9,6.3
CHI,Robin Lopez,C,5,28,E,81,2271,14.4,0.511,0.003,0.134,11.5,13.2,12.3,5.6,0.4,4.1,10,17.5,1.8,2.4,4.3,0.09,-1.9,1,-0.9,0.6
CHI,Rajon Rondo,PG,1,30,E,69,1843,13.6,0.461,0.237,0.089,4.2,16.6,10.4,37,2.7,0.5,22.5,17.8,-0.4,2.7,2.3,0.06,-1.3,1.6,0.3,1.1
CHI,Dwyane Wade,SG,2,35,E,60,1792,18.5,0.508,0.152,0.294,3.8,12.6,8.1,22.3,2.4,1.8,11.3,29.6,0.9,2.5,3.4,0.09,0.4,0.6,1,1.3
CHI,Nikola Mirotic,PF,4,25,E,70,1679,14.5,0.546,0.603,0.205,3.9,20.9,12.3,6.9,1.6,2.6,10.5,19.8,1.2,2.5,3.8,0.107,-0.1,0.4,0.4,1
CHO,Kemba Walker,PG,1,26,E,79,2739,21.3,0.569,0.415,0.248,1.8,10.6,6.2,29.1,1.6,0.7,9.5,29.2,5.9,2.2,8.1,0.142,5.3,-1.7,3.6,3.9
CHO,Nicolas Batum,SG,2,28,E,77,2617,15.8,0.529,0.415,0.291,1.9,18.4,10.1,27.7,1.6,1,15,22.3,1.7,2.8,4.6,0.084,0.7,0.6,1.2,2.1
CHO,Michael Kidd-Gilchrist,SF,3,23,E,81,2349,14.3,0.528,0.015,0.314,7.3,19.3,13.2,7.4,1.7,2.9,7.4,14.6,2.7,3.1,5.8,0.119,-2,2.2,0.2,1.3
CHO,Marvin Williams,PF,4,30,E,76,2295,13.7,0.551,0.503,0.213,4.2,19.8,12,7.1,1.3,2,7.2,16.3,2.4,2.6,5,0.105,-0.3,0.5,0.2,1.3
CHO,Frank Kaminsky,C,5,23,E,75,1954,13,0.502,0.441,0.195,3.2,15.8,9.5,13.5,1.2,1.5,8,21.8,0.4,1.9,2.3,0.056,-0.8,-0.8,-1.5,0.2
CLE,LeBron James,SF,3,32,E,74,2794,27,0.619,0.254,0.395,4,20.7,12.6,41.3,1.6,1.3,16.1,30,9.8,3,12.9,0.221,6.8,1.6,8.4,7.3
CLE,Kyrie Irving,PG,1,24,E,72,2525,23,0.58,0.311,0.231,2.3,7.5,5,29.7,1.6,0.8,10.3,30.8,7.4,1.5,8.9,0.17,4.8,-2.3,2.5,2.9
CLE,Tristan Thompson,C,5,25,E,78,2336,15.3,0.594,0.007,0.487,13.9,19.6,16.9,4.6,0.8,2.9,10.8,11.3,5,2.3,7.3,0.149,0,1.5,1.5,2
CLE,Iman Shumpert,SG,2,26,E,76,1937,9,0.536,0.534,0.184,2.3,9.9,6.2,7.8,1.6,1.1,12.9,14,0.7,1.4,2,0.05,-1.3,0,-1.3,0.3
CLE,Kevin Love,PF,4,28,E,60,1885,21.1,0.573,0.449,0.34,8.9,29.3,19.5,9.8,1.4,0.9,10.9,26.4,4,2.4,6.4,0.163,1.7,-0.9,0.8,1.3
DET,Tobias Harris,PF,4,24,E,82,2567,16.9,0.568,0.295,0.213,2.6,15.6,8.8,8.8,1.2,1.3,7.6,21.7,4,2.8,6.8,0.128,1,0.1,1.2,2
DET,Marcus Morris,SF,3,27,E,79,2565,12.4,0.508,0.355,0.184,3.2,12.8,7.8,9.4,1,0.8,7.4,20.3,1.4,2.4,3.9,0.072,-0.3,-0.2,-0.5,1
DET,Kentavious Caldwell-Pope,SG,2,23,E,76,2529,12.8,0.519,0.471,0.199,2.3,8.7,5.3,11.2,1.8,0.4,7.9,19.2,2,2.5,4.5,0.086,0.9,0,0.9,1.8
DET,Andre Drummond,C,5,23,E,81,2409,20.9,0.518,0.008,0.39,15.1,36.2,25.2,6,2.6,3.1,12.5,22.4,1.4,5.3,6.7,0.133,-2.1,2.9,0.9,1.8
DET,Ish Smith,PG,1,28,E,81,1955,14.7,0.477,0.14,0.136,1.1,12.4,6.6,32.5,1.6,1.4,12.4,20.5,0.9,2.2,3.1,0.076,-1.2,0.4,-0.8,0.6
IND,Paul George,SF,3,26,E,75,2689,20.2,0.587,0.368,0.277,2.5,17.9,10.3,16.1,2.2,0.9,12.7,28.9,3.9,3.1,7.1,0.126,3.1,-0.3,2.8,3.2
IND,Jeff Teague,PG,1,28,E,82,2657,19.2,0.574,0.277,0.457,1.4,12.4,7,36.4,1.9,1.1,16.5,22.1,5.7,2.4,8.1,0.146,2.4,-0.5,1.9,2.6
IND,Myles Turner,C,5,20,E,81,2541,18.5,0.585,0.132,0.349,6.2,19.6,13,6.6,1.5,5.9,9.5,19.5,4.3,3.7,8,0.151,-0.3,2.6,2.4,2.8
IND,Thaddeus Young,PF,4,28,E,74,2237,14.9,0.562,0.172,0.125,6.7,15.7,11.2,8.4,2.5,1.1,11.6,16.4,2,2.7,4.6,0.1,0,1.4,1.4,1.9
IND,Monta Ellis,SG,2,31,E,74,1998,9.9,0.514,0.242,0.23,1.1,10.3,5.7,17.2,2,1.2,18,16.8,-0.7,1.7,1.1,0.026,-2.5,0.2,-2.3,-0.2
MIA,Hassan Whiteside,C,5,27,E,77,2513,22.6,0.579,0,0.368,12.8,35.3,24,3.8,1.1,5,12,22.7,4.2,5.3,9.5,0.181,-2,1.5,-0.5,0.9
MIA,Goran Dragic,PG,1,30,E,73,2459,19.8,0.575,0.257,0.335,2.8,9.9,6.3,29,1.8,0.4,14.1,27.1,5,2.6,7.5,0.147,3.4,-0.7,2.7,2.9
